Ship To,Bill Name,Customer Part.,Mfr,Item No,Order Number,Date Ordered,Date Required,Qty Required,Qty Allocated,Current Customer Commit,Current Commit Date,Resale Price,Value USD,Value Alloc USD,LeadTime,Product Type,MPQ,Class,Usage Last Month,Usage 2 Mths ago,Usage 3 Mths ago,Total PBO Qty,Country Of Origin,Weight(grams),Stock Asia,Stock Asia Available,Stock Canada,Stock Canada Available,Stock Europe,Stock Europe Available,Stock US,Stock US Available,Business Unit,Days Late,Order Month
JS004000,JABIL VIETNAM CO. LTD  ,SE27-00010-001,ABR,1213743,4509175456,4/12/2022,10/4/2023,2000,0,2000,10/4/2023,0.422,844,0,26,L,1000,68,0,0,0,80000,KR,280,11000,0,0,0,0,0,0,0,EMech & PTE,0,4
JS004001,JABIL VIETNAM CO. LTD  ,69814-3,ZTM,3060501,4510720096,5/24/2023,8/25/2023,12150,0,12150,8/25/2023,1.05,12757.5,0,12,N,150,66,0,0,0,21750,0,1087020,0,0,0,0,0,0,0,0,Passives,0,5
JS0N5B00,JABIL VIETNAM CO. LTD  ,192031028,NXP,3075757,BIM-JABIL-NXP-1,2/11/2016,1/1/2030,1722000,0,12000,11/28/2023,1.1775,2027655,0,20,L,4000,2N,240000,364000,276000,2560000,TW,1033200,156000,0,0,0,0,0,20000,0,Future Connectivity Solutions,2226,2
JS005B00,JABIL VIETNAM CO. LTD  ,GE9938052076,DIO,9045985,BIM-JABIL VN-SMCI,1/15/2016,1/1/2030,87000,0,36000,2/13/2024,0.0435,3784.5,0,8,L,3000,4X,120000,0,9000,129000,0,5075,114000,0,0,0,0,0,0,0,Small Signal Discretes,2149,1
JS0N5B00,JABIL VIETNAM CO. LTD  ,192039313,NXP,6095769,BIM-JABIL-NXP,10/26/2018,1/1/2030,140000,100000,100000,12/1/2023,0.239,33460,23900,19,L,4000,8,8000,0,48000,88000,TH,4900,112000,0,0,0,0,0,0,0,ANALOG,2223,10
JS0N5B00,JABIL VIETNAM CO. LTD  ,192011245,NXP,3110121,BIM-JABIL-NXP,3/4/2019,1/1/2030,52000,0,10000,11/22/2023,2.388,124176,0,13,L,2000,1P,5943,8000,4000,84000,TW,27560,6000,0,0,0,0,0,0,0,MICROCONTROLLERS,2232,3
JS005B00,JABIL VIETNAM CO. LTD  ,ZB-50-15100-214,CK ,5372180,BIM-JABIL VN-SMCI,7/4/2019,1/1/2030,25000,18000,18000,12/29/2023,0.178,4450,3204,13,C,1000,22,0,0,2000,56000,FR,15500,49000,0,0,0,0,0,0,0,EMech & PTE,2195,7
JS005B00,JABIL VIETNAM CO. LTD  ,SW3900227,NCP,3649001,BIM-JABIL VN-1,7/17/2019,1/1/2030,810,0,90,12/26/2023,0.812,657.72,0,20,C,90,85,90,0,0,1350,TW,0,2070,0,0,0,360,0,2759,2219,Interconnect,2198,7
JS005B00,JABIL VIETNAM CO. LTD  ,SW3400824,STG,1165834,BIM-JABIL VN-1,7/17/2019,1/1/2030,7500,0,5000,1/24/2024,0.253,1897.5,0,25,N,2500,6I,7500,0,0,10000,MA,2220,7500,0,0,0,0,0,0,0,ANALOG,2169,7
JS0N5B00,JABIL VIETNAM CO. LTD  ,CA780-00601-LC,NXP,4089143,BIM-JABIL-NXP,10/15/2019,1/1/2030,200000,157500,157500,12/8/2023,0.1815,36300,28586.25,21,L,2500,5B,0,0,0,235000,CN,40000,157500,0,0,0,0,0,0,0,Sensors,2216,10
JS005B00,JABIL VIETNAM CO. LTD  ,CA763-00003-LC,DIO,5049115,BIM-JABIL VN-SMCI,10/29/2019,1/1/2030,2000,0,1000,9/19/2023,0.058,116,0,8,L,1000,4,0,0,0,52000,0,400,0,0,0,0,0,0,0,0,Small Signal Discretes,2296,10
JS005B00,JABIL VIETNAM CO. LTD  ,SW5200113,LF ,4144841,BIM-JABIL VN-1,6/8/2021,1/1/2030,1500,0,1500,8/17/2023,0.2814,422.1,0,13,L,1500,14,1500,0,0,13500,0,214,3000,0,0,0,0,0,0,0,Circuit Protection,2329,6
JS080200,JABIL VIETNAM CO. LTD  ,SW5010155,DIO,2132320,1852055756,8/4/2022,11/11/2023,75000,0,75000,1/26/2024,0.0217,1627.5,0,8,L,3000,4Y,0,0,0,954000,CN,9000,1776000,948000,0,0,0,0,0,0,Discretes,-76,8
JS080200,JABIL VIETNAM CO. LTD  ,SW5010155,DIO,2132320,1852055757,8/4/2022,12/9/2023,72000,69000,69000,2/19/2024,0.0217,1562.4,1497.3,8,L,3000,4Y,0,0,0,954000,CN,8640,1776000,948000,0,0,0,0,0,0,Discretes,-72,8
JS004001,JABIL VIETNAM CO. LTD  ,69814-3,ZTM,3060501,4510720100,5/24/2023,8/25/2023,9600,0,9600,8/25/2023,1.05,10080,0,12,N,150,66,0,0,0,21750,0,858880,0,0,0,0,0,0,0,0,Passives,0,5
JS010800,JABIL VIETNAM CO. LTD  ,SE50-00105-001,NXP,2166242,4509713712,6/15/2023,10/10/2023,1216,0,152,10/10/2023,12.1797,14810.52,0,16,N,152,1H,2432,0,0,5168,KR,5520,1064,1064,0,0,0,0,0,0,Future Intelligent Solutions,0,6
JS010800,JABIL VIETNAM CO. LTD  ,SE50-00105-001,NXP,2166242,4509713713,6/15/2023,10/31/2023,1216,0,1064,10/31/2023,12.1797,14810.52,0,16,N,152,1H,2432,0,0,5168,KR,5520,1064,1064,0,0,0,0,0,0,Future Intelligent Solutions,0,6
JS010800,JABIL VIETNAM CO. LTD  ,SE50-00105-001,NXP,2166242,4509763847,6/15/2023,10/24/2023,304,0,152,10/24/2023,12.1797,3702.63,0,16,N,152,1H,2432,0,0,5168,KR,1380,1064,1064,0,0,0,0,0,0,Future Intelligent Solutions,0,6
JS080200,JABIL VIETNAM CO. LTD  ,SNDHUA40541-NR,DIO,7159650,1851832180,6/29/2021,12/8/2023,3000,0,3000,12/8/2023,0.071,213,0,8,C,3000,4,9000,0,0,219000,CN,136,1353000,1131000,0,0,525000,423000,9000,9000,Small Signal Discretes,0,6
JS080200,JABIL VIETNAM CO. LTD  ,SNDHUA40541-NR,DIO,7159650,1851832181,6/29/2021,3/1/2024,3000,0,3000,3/1/2024,0.071,213,0,8,C,3000,4,9000,0,0,219000,CN,136,1353000,1131000,0,0,525000,423000,9000,9000,Small Signal Discretes,0,6
JS080200,JABIL VIETNAM CO. LTD  ,SW5010155,DIO,2132320,1852055759,8/4/2022,12/9/2023,57000,0,57000,2/19/2024,0.0217,1236.9,0,8,L,3000,4Y,0,0,0,954000,CN,6840,1776000,948000,0,0,0,0,0,0,Discretes,-72,8
JS004000,JABIL VIETNAM CO. LTD  ,CA774-00060-LC,DIO,9938655,4509787517,9/12/2022,3/25/2024,5000,0,5000,5/7/2024,0.0447,223.5,0,8,C,5000,4X,5000,0,0,25000,TW,0,35000,10000,0,0,0,0,35000,35000,Small Signal Discretes,-43,9
JS004000,JABIL VIETNAM CO. LTD  ,CA774-00060-LC,DIO,9938655,4509999266,11/6/2022,12/11/2023,5000,0,5000,4/1/2024,0.0447,223.5,0,8,C,5000,4X,5000,0,0,25000,TW,0,35000,10000,0,0,0,0,35000,35000,Small Signal Discretes,-112,11
JS004000,JABIL VIETNAM CO. LTD  ,CA774-00060-LC,DIO,9938655,4510104584,12/5/2022,1/1/2024,5000,0,5000,4/1/2024,0.0447,223.5,0,8,C,5000,4X,5000,0,0,25000,TW,0,35000,10000,0,0,0,0,35000,35000,Small Signal Discretes,-91,12
JS005B00,JABIL VIETNAM CO. LTD  ,CA780-00682-LC,ITS,2030141,BIM-JABIL VN-SMCI,12/29/2022,1/1/2030,21000,12000,12000,1/19/2024,1.525,32025,18300,52,N,3000,6I,0,0,0,9000,MY,1680,12000,0,0,0,0,0,0,0,ANALOG,2174,12
JS005B00,JABIL VIETNAM CO. LTD  ,CA760-00244-LC,DIO,3101737,BIM-JABIL VN-SMCI,1/2/2023,1/1/2030,2000,0,2000,2/22/2024,0.705,1410,0,8,L,1000,68,1000,0,0,14000,TW,310,5000,0,0,0,0,0,0,0,EMech & PTE,2140,1
JS005B00,JABIL VIETNAM CO. LTD  ,SW3400881,DIO,8058795,BIM-JABIL VN-SMCI,2/8/2023,1/1/2030,130000,40000,40000,3/25/2024,0.0248,3224,992,8,L,5000,16,0,0,0,290000,CN,4420,210000,0,0,0,0,0,0,0,ANALOG,2108,2
JS004000,JABIL VIETNAM CO. LTD  ,ECMP000289,LF ,7064075,4510391649,2/27/2023,11/25/2023,5000,3000,3000,12/14/2023,0.0297,148.5,89.1,12,L,500,1V,10000,0,5000,7000,CN,11400,14000,0,0,0,0,0,0,0,Circuit Protection,-19,2
JS004000,JABIL VIETNAM CO. LTD  ,P1089829,DIO,7131976,4510751804,6/1/2023,12/2/2023,60000,0,6000,3/26/2024,0.02,1200,0,8,C,3000,11,60000,0,0,345000,CN,3067,291000,96000,0,0,0,0,0,0,Circuit Protection,-115,6
JS004000,JABIL VIETNAM CO. LTD  ,192060053,DIO,7157070,4510803599,6/13/2023,10/14/2023,6000,0,3000,11/10/2023,0.085,510,0,8,L,3000,42,6000,0,0,99000,0,960,0,0,0,0,0,0,0,0,ANALOG,-27,6
JS004000,JABIL VIETNAM CO. LTD  ,192044096,DIO,8165898,4510930752,7/17/2023,2/27/2024,12000,0,3000,6/10/2024,0.049,588,0,20,C,3000,9,0,0,0,219000,CN,3680,45000,45000,0,0,0,0,0,0,ANALOG,-104,7
JS004000,JABIL VIETNAM CO. LTD  ,P1089829,DIO,7131976,4510957180,7/23/2023,2/17/2024,36000,0,36000,6/19/2024,0.02,720,0,8,C,3000,11,60000,0,0,345000,CN,1840,291000,96000,0,0,0,0,0,0,Circuit Protection,-123,7
JS005B00,JABIL VIETNAM CO. LTD  ,ZB-IC000191A01,STG,8165685,1853051398-9529-R,7/29/2023,7/30/2023,1008,0,1008,9/11/2023,6.05,6098.4,0,20,N,1008,3H,0,0,0,42336,TW,2230,1008,0,0,0,0,0,0,0,MICROCONTROLLERS,-43,7
JS080200,JABIL VIETNAM CO. LTD  ,SNDHUA40541-NR,DIO,7159650,1851832182,6/29/2021,1/19/2024,3000,0,3000,1/19/2024,0.071,213,0,8,C,3000,4,9000,0,0,219000,CN,136,1353000,1131000,0,0,525000,423000,9000,9000,Small Signal Discretes,0,6
JS080200,JABIL VIETNAM CO. LTD  ,72375-1,DIO,9049084,1851841380,7/5/2021,10/13/2023,66000,0,66000,10/13/2023,0.0413,2725.8,0,20,C,3000,4Y,108000,45000,0,0,CN,3080,1560000,924000,0,0,987000,840000,192000,189000,Discretes,0,7
JS080200,JABIL VIETNAM CO. LTD  ,72375-1,DIO,9049084,1851865237,8/2/2021,10/6/2023,39000,0,39000,10/6/2023,0.0413,1610.7,0,20,C,3000,4Y,108000,45000,0,0,CN,1820,1560000,924000,0,0,987000,840000,192000,189000,Discretes,0,8
JS004000,JABIL VIETNAM CO. LTD  ,CA785-00382-LC,PER,7111305,4508101693,8/16/2021,2/9/2024,2500,0,2500,2/9/2024,0.152,380,0,24,C,2500,25,0,0,5000,110000,TW,0,77500,65000,0,0,22500,5000,0,0,ANALOG,0,8
JS004000,JABIL VIETNAM CO. LTD  ,SNDHUA39593-NR,DIO,2108052,4508104861,8/16/2021,10/13/2023,20000,0,20000,10/13/2023,0.0299,598,0,8,L,10000,4Y,0,0,0,40000,CN,920,20000,20000,0,0,0,0,0,0,Discretes,0,8
JS004000,JABIL VIETNAM CO. LTD  ,SW3016770,DIO,4117611,4508225999,9/13/2021,2/10/2024,69000,0,69000,2/10/2024,0.01764,1217.16,0,8,L,3000,4X,0,0,0,0,CN,1932,213000,189000,0,0,0,0,0,0,Small Signal Discretes,0,9
JS004000,JABIL VIETNAM CO. LTD  ,CA785-00382-LC,PER,7111305,4508280943,9/24/2021,2/11/2024,2500,0,2500,2/11/2024,0.152,380,0,24,C,2500,25,0,0,5000,110000,TW,0,77500,65000,0,0,22500,5000,0,0,ANALOG,0,9
JS080200,JABIL VIETNAM CO. LTD  ,P1050934,PER,2119244,1851906254,9/29/2021,10/14/2023,10000,0,10000,10/14/2023,0.333,3330,0,24,L,2500,5,0,0,0,27500,TW,2560,22500,12500,0,0,5000,5000,0,0,ANALOG,0,9
JS004000,JABIL VIETNAM CO. LTD  ,CA785-00382-LC,PER,7111305,4508318049,10/4/2021,2/18/2024,2500,0,2500,2/18/2024,0.152,380,0,24,C,2500,25,0,0,5000,110000,TW,0,77500,65000,0,0,22500,5000,0,0,ANALOG,0,10
JS080200,JABIL VIETNAM CO. LTD  ,SNDPFX060658H-NR,DIO,3830908,1851909493,10/4/2021,11/10/2023,36000,0,36000,11/10/2023,0.0119,428.4,0,8,C,3000,4,0,0,0,381000,CN,1592,150000,150000,0,0,9000,9000,117000,36000,Small Signal Discretes,0,10
JS080200,JABIL VIETNAM CO. LTD  ,SNDPFX060658H-NR,DIO,3830908,1851909494,10/4/2021,11/24/2023,48000,0,48000,11/24/2023,0.0119,571.2,0,8,C,3000,4,0,0,0,381000,CN,2123,150000,150000,0,0,9000,9000,117000,36000,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,SND1DDE002302-NR,DIO,4456992,4508313747,10/5/2021,11/10/2023,48000,0,48000,11/10/2023,0.0139,667.2,0,12,C,3000,4,117000,0,123000,369000,CN,2114,825000,411000,0,0,231000,108000,558000,174000,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,SNDHUA19375-NR,DIO,2443414,4508313829,10/5/2021,1/12/2024,20000,0,20000,1/12/2024,0.0372,744,0,8,C,5000,4V,0,20000,0,300000,TW,2948,1457982,870000,0,0,755000,700000,440000,375000,Discretes,0,10
JS080200,JABIL VIETNAM CO. LTD  ,SNDHUA40541-NR,DIO,7159650,1851911158,10/6/2021,5/3/2024,6000,0,6000,5/3/2024,0.071,426,0,8,C,3000,4,9000,0,0,219000,CN,272,1353000,1131000,0,0,525000,423000,9000,9000,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508412861,10/25/2021,10/25/2023,213000,0,213000,10/25/2023,0.0099,2108.7,0,8,C,3000,4,216000,0,0,0,CN,8695,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508412909,10/25/2021,10/4/2023,174000,0,174000,10/4/2023,0.0099,1722.6,0,8,C,3000,4,216000,0,0,0,CN,7103,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508412942,10/25/2021,11/15/2023,171000,0,171000,11/15/2023,0.0099,1692.9,0,8,C,3000,4,216000,0,0,0,CN,6981,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508412966,10/25/2021,10/18/2023,171000,0,171000,10/18/2023,0.0099,1692.9,0,8,C,3000,4,216000,0,0,0,CN,6981,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508413069,10/25/2021,11/8/2023,213000,0,213000,11/8/2023,0.0099,2108.7,0,8,C,3000,4,216000,0,0,0,CN,8695,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508413091,10/25/2021,10/11/2023,216000,0,216000,10/11/2023,0.0099,2138.4,0,8,C,3000,4,216000,0,0,0,CN,8818,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508413112,10/25/2021,11/1/2023,216000,0,216000,11/1/2023,0.0099,2138.4,0,8,C,3000,4,216000,0,0,0,CN,8818,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508413134,10/25/2021,10/11/2023,216000,0,216000,10/11/2023,0.0099,2138.4,0,8,C,3000,4,216000,0,0,0,CN,8818,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508413163,10/25/2021,10/18/2023,213000,0,213000,10/18/2023,0.0099,2108.7,0,8,C,3000,4,216000,0,0,0,CN,8695,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4508413203,10/25/2021,10/11/2023,216000,0,216000,10/11/2023,0.0099,2138.4,0,8,C,3000,4,216000,0,0,0,CN,8818,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,10
JS004000,JABIL VIETNAM CO. LTD  ,P1101776,DIO,5125676,4508522277,11/21/2021,12/16/2023,69000,0,69000,12/16/2023,0.02,1380,0,8,C,3000,16,0,0,120000,342000,CN,1495,549000,258000,0,0,12000,0,0,0,ANALOG,0,11
JS080200,JABIL VIETNAM CO. LTD  ,SNDHUA40541-NR,DIO,7159650,1851945222,11/26/2021,3/29/2024,3000,0,3000,3/29/2024,0.071,213,0,8,C,3000,4,9000,0,0,219000,CN,136,1353000,1131000,0,0,525000,423000,9000,9000,Small Signal Discretes,0,11
JS004000,JABIL VIETNAM CO. LTD  ,SND1DDE002302-NR,DIO,4456992,4508609362,12/7/2021,12/29/2023,129000,0,129000,12/29/2023,0.0139,1793.1,0,12,C,3000,4,117000,0,123000,369000,CN,5681,825000,411000,0,0,231000,108000,558000,174000,Small Signal Discretes,0,12
JS004000,JABIL VIETNAM CO. LTD  ,SND1DDE002302-NR,DIO,4456992,4508609364,12/7/2021,3/29/2024,114000,0,114000,3/29/2024,0.0139,1584.6,0,12,C,3000,4,117000,0,123000,369000,CN,5020,825000,411000,0,0,231000,108000,558000,174000,Small Signal Discretes,0,12
JS004000,JABIL VIETNAM CO. LTD  ,GCRZ5231B-LF,DIO,5522370,4508749040,1/4/2022,11/21/2023,18000,0,18000,11/21/2023,0.0101,181.8,0,8,C,3000,4X,18000,0,0,597000,CN,708,408000,3000,0,0,252000,213000,249000,45000,Small Signal Discretes,0,1
JS004000,JABIL VIETNAM CO. LTD  ,ZB-LN-000890-01,DIO,3066987,4508824708,1/23/2022,10/7/2023,3000,0,3000,10/7/2023,0.0578,173.4,0,8,C,3000,6I,0,6000,0,57000,CN,160,6000,3000,0,0,0,0,0,0,ANALOG,0,1
JS004000,JABIL VIETNAM CO. LTD  ,SNDHUA19375-NR,DIO,2443414,4508883276,2/8/2022,3/22/2024,15000,0,15000,3/22/2024,0.0372,558,0,8,C,5000,4V,0,20000,0,300000,TW,2211,1457982,870000,0,0,755000,700000,440000,375000,Discretes,0,2
JS004000,JABIL VIETNAM CO. LTD  ,CA763-00012-LC,DIO,7091728,4508909378,2/13/2022,12/2/2023,3000,0,3000,12/2/2023,0.0333,99.9,0,8,L,3000,29,3000,3000,0,0,CN,340,30000,30000,0,0,3000,0,0,0,Discretes,0,2
JS004000,JABIL VIETNAM CO. LTD  ,CA763-00012-LC,DIO,7091728,4508909379,2/13/2022,10/28/2023,3000,0,3000,10/28/2023,0.0333,99.9,0,8,L,3000,29,3000,3000,0,0,CN,340,30000,30000,0,0,3000,0,0,0,Discretes,0,2
JS004000,JABIL VIETNAM CO. LTD  ,CA763-00012-LC,DIO,7091728,4508909382,2/13/2022,12/9/2023,3000,0,3000,12/9/2023,0.0333,99.9,0,8,L,3000,29,3000,3000,0,0,CN,340,30000,30000,0,0,3000,0,0,0,Discretes,0,2
JS004000,JABIL VIETNAM CO. LTD  ,SNDHUA19375-NR,DIO,2443414,4508929294,2/17/2022,1/5/2024,15000,0,15000,1/5/2024,0.0372,558,0,8,C,5000,4V,0,20000,0,300000,TW,2211,1457982,870000,0,0,755000,700000,440000,375000,Discretes,0,2
JS004000,JABIL VIETNAM CO. LTD  ,SNDHUA19375-NR,DIO,2443414,4508929295,2/17/2022,12/1/2023,15000,0,15000,12/1/2023,0.0372,558,0,8,C,5000,4V,0,20000,0,300000,TW,2211,1457982,870000,0,0,755000,700000,440000,375000,Discretes,0,2
JS004000,JABIL VIETNAM CO. LTD  ,SNDHUA40541-NR,DIO,7159650,4508935241,2/18/2022,2/2/2024,3000,0,3000,2/2/2024,0.071,213,0,8,C,3000,4,0,0,0,219000,CN,136,1353000,1131000,0,0,525000,423000,9000,9000,Small Signal Discretes,0,2
JS010800,JABIL VIETNAM CO. LTD  ,P1098044,NXP,2141971,4509055481,3/16/2022,1/3/2024,9828,0,9828,1/3/2024,10.2961,101190.07,0,23,L,84,1H,0,0,1176,0,KR,47502,41664,9828,0,0,0,0,0,0,Future Intelligent Solutions,0,3
JS004000,JABIL VIETNAM CO. LTD  ,CA774-00033-LC,DIO,5521612,4509108755,3/28/2022,11/20/2023,5000,0,5000,11/20/2023,0.048,240,0,8,C,5000,4X,0,0,0,25000,TW,630,25000,20000,0,0,0,0,5000,0,Small Signal Discretes,0,3
JS004000,JABIL VIETNAM CO. LTD  ,CA774-00033-LC,DIO,5521612,4509108764,3/28/2022,10/23/2023,5000,0,5000,10/23/2023,0.048,240,0,8,C,5000,4X,0,0,0,25000,TW,630,25000,20000,0,0,0,0,5000,0,Small Signal Discretes,0,3
JS004000,JABIL VIETNAM CO. LTD  ,CA774-00060-LC,DIO,9938655,4509111284,3/28/2022,10/2/2023,5000,0,5000,10/2/2023,0.0447,223.5,0,8,C,5000,4X,5000,0,0,25000,TW,0,35000,10000,0,0,0,0,35000,35000,Small Signal Discretes,0,3
JS004000,JABIL VIETNAM CO. LTD  ,SW3016770,DIO,4117611,4509171621,4/11/2022,5/4/2024,42000,0,42000,5/4/2024,0.01764,740.88,0,8,L,3000,4X,0,0,0,0,CN,1176,213000,189000,0,0,0,0,0,0,Small Signal Discretes,0,4
JS004000,JABIL VIETNAM CO. LTD  ,SW3016770,DIO,4117611,4509171623,4/11/2022,4/20/2024,36000,0,36000,4/20/2024,0.01764,635.04,0,8,L,3000,4X,0,0,0,0,CN,1008,213000,189000,0,0,0,0,0,0,Small Signal Discretes,0,4
JS004000,JABIL VIETNAM CO. LTD  ,192099765,DIO,5158902,4509176757,4/12/2022,11/15/2023,30000,0,30000,11/15/2023,0.066,1980,0,8,C,3000,5D,27000,0,102000,39000,CN,1814,822000,654000,0,0,21000,9000,0,0,ANALOG,0,4
JS004000,JABIL VIETNAM CO. LTD  ,192099765,DIO,5158902,4509176758,4/12/2022,12/6/2023,24000,0,24000,12/6/2023,0.066,1584,0,8,C,3000,5D,27000,0,102000,39000,CN,1451,822000,654000,0,0,21000,9000,0,0,ANALOG,0,4
JS004000,JABIL VIETNAM CO. LTD  ,DQ11000004,DIO,3275963,4509176786,4/12/2022,10/18/2023,351000,0,351000,10/18/2023,0.0099,3474.9,0,8,C,3000,4,216000,0,0,0,CN,14329,6192000,4266000,0,0,33000,33000,42000,0,Small Signal Discretes,0,4
JS004000,JABIL VIETNAM CO. LTD  ,188734668,DIO,7100175,4509180550,4/12/2022,10/11/2023,42000,0,42000,10/11/2023,0.0076,319.2,0,8,C,3000,4,0,78000,42000,237000,CN,1630,3225000,2412000,0,0,534000,357000,84000,27000,Small Signal Discretes,0,4
JS080200,JABIL VIETNAM CO. LTD  ,12-04134,DIO,5116093,1852024207,4/13/2022,10/28/2023,9000,0,9000,10/28/2023,0.038,342,0,8,C,3000,4V,0,0,0,0,TW,510,195000,177000,0,0,0,0,0,0,Discretes,0,4
JS080200,JABIL VIETNAM CO. LTD  ,12-04134,DIO,5116093,1852024215,4/13/2022,10/28/2023,9000,0,9000,10/28/2023,0.038,342,0,8,C,3000,4V,0,0,0,0,TW,510,195000,177000,0,0,0,0,0,0,Discretes,0,4
JS080200,JABIL VIETNAM CO. LTD  ,12-04144,DIO,1034078,1852024497,4/14/2022,11/23/2023,69000,0,69000,11/23/2023,0.07,4830,0,8,L,3000,7,0,0,69000,0,TW,16560,69000,69000,0,0,0,0,0,0,Discretes,0,4
JS080200,JABIL VIETNAM CO. LTD  ,72034-1,DIO,6880710,1852026013,4/17/2022,9/27/2024,27000,0,27000,9/27/2024,0.0165,445.5,0,12,C,3000,4V,162000,288000,0,483000,CN,1105,918000,651000,0,0,315000,114000,513000,417000,Discretes,0,4
JS080200,JABIL VIETNAM CO. LTD  ,72034-1,DIO,6880710,1852026015,4/17/2022,8/23/2024,63000,0,63000,8/23/2024,0.0165,1039.5,0,12,C,3000,4V,162000,288000,0,483000,CN,2578,918000,651000,0,0,315000,114000,513000,417000,Discretes,0,4
JS004000,JABIL VIETNAM CO. LTD  ,192099765,DIO,5158902,4509200129,4/18/2022,11/1/2023,60000,0,60000,11/1/2023,0.066,3960,0,8,C,3000,5D,27000,0,102000,39000,CN,3629,822000,654000,0,0,21000,9000,0,0,ANALOG,0,4
JS004000,JABIL VIETNAM CO. LTD  ,192099765,DIO,5158902,4509200130,4/18/2022,12/20/2023,48000,0,48000,12/20/2023,0.066,3168,0,8,C,3000,5D,27000,0,102000,39000,CN,2903,822000,654000,0,0,21000,9000,0,0,ANALOG,0,4
JS004000,JABIL VIETNAM CO. LTD  ,192099765,DIO,5158902,4509200131,4/18/2022,11/8/2023,57000,0,57000,11/8/2023,0.066,3762,0,8,C,3000,5D,27000,0,102000,39000,CN,3447,822000,654000,0,0,21000,9000,0,0,ANALOG,0,4
JS004000,JABIL VIETNAM CO. LTD  ,192099765,DIO,5158902,4509200132,4/18/2022,10/11/2023,51000,0,51000,10/11/2023,0.066,3366,0,8,C,3000,5D,27000,0,102000,39000,CN,3084,822000,654000,0,0,21000,9000,0,0,ANALOG,0,4
JS004000,JABIL VIETNAM CO. LTD  ,GE994000000109,DIO,2951598,4509227782,4/25/2022,10/27/2023,5000,0,5000,10/27/2023,0.0192,96,0,8,C,5000,4V,125000,110000,110000,1630000,TW,650,7135000,6350000,0,0,735000,375000,380000,255000,Discretes,0,4
JS004000,JABIL VIETNAM CO. LTD  ,GE994000000109,DIO,2951598,4509227783,4/25/2022,10/27/2023,5000,0,5000,10/27/2023,0.0192,96,0,8,C,5000,4V,125000,110000,110000,1630000,TW,650,7135000,6350000,0,0,735000,375000,380000,255000,Discretes,0,4
JS080200,JABIL VIETNAM CO. LTD  ,SW3600169,DIO,6913875,1852030746,4/27/2022,12/16/2023,54000,0,54000,12/16/2023,0.0154,831.6,0,8,C,3000,4V,168000,0,96000,498000,CN,1752,573000,498000,0,0,411000,126000,75000,75000,Discretes,0,4
JS004000,JABIL VIETNAM CO. LTD  ,SW3600182,DIO,4776779,4509254891,5/2/2022,12/9/2023,21000,0,21000,12/9/2023,0.0077,161.7,0,8,C,3000,4,0,0,42000,0,CN,980,3297000,2451000,0,0,2721000,2190000,192000,33000,Small Signal Discretes,0,5
JS004000,JABIL VIETNAM CO. LTD  ,SW3500031,DIO,8027555,4509280032,5/9/2022,2/10/2024,45000,0,45000,2/10/2024,0.0254,1143,0,8,C,3000,4,0,0,63000,0,CN;MY,2550,5346000,4851000,0,0,987000,924000,9000,9000,Small Signal Discretes,0,5
JS004000,JABIL VIETNAM CO. LTD  ,GE994000000109,DIO,2951598,4509281453,5/9/2022,10/27/2023,30000,0,30000,10/27/2023,0.0192,576,0,8,C,5000,4V,125000,110000,110000,1630000,TW,3900,7135000,6350000,0,0,735000,375000,380000,255000,Discretes,0,5
JS004000,JABIL VIETNAM CO. LTD  ,GE994000000109,DIO,2951598,4509281606,5/9/2022,11/3/2023,5000,0,5000,11/3/2023,0.0192,96,0,8,C,5000,4V,125000,110000,110000,1630000,TW,650,7135000,6350000,0,0,735000,375000,380000,255000,Discretes,0,5
