COMPANY,BILLTO,MRPVSCONT,NUM_FPN,NUM_CPN,CPN,MFR,MFR_PART,FPN,PRIORITY,CLASS,EAU,BOND_QTY,BOND_DELTA,BOND_ALLOC,ATS_BOL,ATS_MTL,ATS_ASIA,ATS_EUR,DELTA,WKS_SUPPLY,CUTOFFDATE,TREND,VOLAT_PERC,ACCUR_PERC,TOTAL_CBO,TOT_ALLOC,PROV_ALLOC,NA_PBO,EUR_PBO,ASIA_PBO,USE_1_12,USE_13_24,USE_13_16,USE_9_12,USE_5_8,USE_1_4,PASTDUE,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,MRP_1_4,MRP_5_8,MRP_9_12,MRP_13_16,MRP_17_20,MRP_21_24,MRP_25_28,MRP_OVER28,MRP_1_12,GROSS_NET,QOH,FCQOH,INTRANSIT,FRESALE,UOM,CRESALE,RESCHK,PRODUCTYPE,FMPQ,CMPQ,MPQCHK,CPNDESC,BIN_LOC,CONTR_NUM,CONTR_LINE,CONTR_STRT,CONTR_END,EXTRA1,EXTRA2,EXTRA3,LOI_NUM,CUST_PO,CUSTPOLINE,IS_LF,IS_ROHS,A_LF_PB,A_ROHS,END_CUST,PROG_PART,WEEK13,MRPPD_13,NET_90DAY,RUN_DATE,PAPER_WORK,NETGRECEIV,QOHDEDUCT,CBODEDUCT,FCQOHDEDUC,CUST_NET90,ACTIONET90,CBOBONDALC,CODE,NOTES,USERNAME,MODDATE,MANUALOC,LEADTIME,CUSTMPN
FUTA,JS005B,MC,2,1,34355-LF,DIO,MMSZ5245B-7-F,MMSZ5245BT1,001,4X,3000,102000,0,102000,1458000,0,927000,93000,914672,30 Weeks+,8/2/2021,144.95%,No previous data found,No previous data found,0,0,0,708000,567000,6294000,90000,0,0,12000,51000,27000,58439,22881,14374,11027,5070,0,38,53352,25411,32969,18726,19997,38470,23488,72566,111732,Gross MRP data - QOH provided,55843,0,0,0.008700,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=27000;CBO=0,,CT#9999,249,7/28/2020,1/1/2030,111791,111791,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853044375,000001,Y,Y,N,N,,,4893,175064,114328,1/2/2021,,Gross MRP Received,N,N,N,114328,114328,102000,,,,,N,14,MMSZ5245B-7-F
FUTA,JS005B,MC,1,1,34402SB1188-E,DIO,2DB1188Q-13,2DB1188QTR,001,29,230000,5000,0,5000,0,0,0,0,15099,2 Weeks,1/18/2021,160.08%,No previous data found,No previous data found,0,0,0,0,0,5000,10000,5000,0,5000,5000,0,0,34,4004,4000,4000,3970,0,12038,3970,0,0,0,0,0,0,16008,Gross MRP data - QOH provided,11107,15000,0,0.065000,E,0.000000,Empty Customer Price,L,2500,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,083,1/15/2016,1/1/2030,12038,16008,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035890,000001,Y,Y,N,N,,,0,16008,4901,1/2/2021,,Gross MRP Received,N,N,N,4901,4901,5000,,,,,N,14,2DB1188Q-13
FUTA,JS005B,MC,1,1,3440MJD31CS-E,DIO,MJD31C-13,MJD31CT4,001,29,10000,0,0,0,2170000,0,0,37500,6399,0 Weeks,1/4/2021,203800.00%,No previous data found,No previous data found,0,0,0,2845000,0,505000,0,2500,0,0,0,0,0,24,640,200,0,0,0,864,199,625,350,50,300,0,0,1688,Gross MRP data - QOH provided,3087,5000,0,0.063400,E,0.000000,Empty Customer Price,Common Bond,2500,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,022,1/15/2016,1/1/2030,864,864,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035868,000001,Y,Y,N,N,,,0,1688,0,1/2/2021,,Gross MRP Received,N,N,N,0,0,0,,,,,N,11,MJD31C-13
FUTA,JS005B,MC,1,1,3441BAS16S-E,DIO,BAS16V-7,BAS16VTR,001,04,12000,0,0,0,0,0,3000,0,5390,30 Weeks+,8/2/2021,30000.00%,No previous data found,No previous data found,0,0,0,0,27000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,297,0,0,0,0,Gross MRP data - QOH provided,2390,0,0,0.026000,E,0.000000,Empty Customer Price,L,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,024,1/15/2016,1/1/2030,0,0,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035872,000001,Y,Y,N,N,,,0,0,0,1/2/2021,,Gross MRP Received,N,N,N,0,0,0,,,,,N,14,BAS16V-7
FUTA,JS005B,MC,1,1,3441BAT54S1-E,DIO,BAT54A-7-F,BAT54ATR,001,04,12000,3000,0,3000,210000,0,186000,177000,185962,30 Weeks+,8/2/2021,100.39%,No previous data found,No previous data found,0,0,0,0,153000,837000,6000,12000,3000,0,3000,3000,0,0,790,1110,120,1197,198,2020,3783,1920,1312,2247,1800,900,900,7723,Gross MRP data - QOH provided,4685,0,0,0.009600,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,025,1/15/2016,1/1/2030,2020,3217,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035842,000001,Y,Y,N,N,,,0,7723,3038,1/2/2021,,Gross MRP Received,N,N,N,3038,3038,3000,,,,,N,12,BAT54A-7-F
FUTA,JS005B,MC,2,1,3441BAV70S-E,DIO,BAV70-7-F,BAV70LT1,001,04,12000,3000,0,3000,159000,0,1026000,519000,1024666,30 Weeks+,8/2/2021,49.44%,No previous data found,No previous data found,0,0,0,0,2364000,2988000,12000,9000,3000,12000,0,0,0,4,795,890,80,798,99,1769,2762,1485,1400,1498,1200,600,600,6016,Gross MRP data - QOH provided,1682,0,0,0.007000,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,027,1/15/2016,1/1/2030,1769,2567,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035844,000001,Y,Y,N,N,,,0,6016,4334,1/2/2021,,Gross MRP Received,N,N,N,4334,4334,3000,,,,,N,14,BAV70-7-F
FUTA,JS005B,MC,1,1,3441BAV99DWS-E,DIO,BAV99DW-7-F,BAV99DWLT1,001,04,12000,3000,0,3000,0,0,621000,909000,624567,30 Weeks+,8/2/2021,327.57%,No previous data found,No previous data found,0,0,0,15000,1710000,8460000,0,3000,3000,0,0,0,0,0,0,3910,120,597,0,4030,1797,0,4000,550,900,0,0,5827,Gross MRP data - QOH provided,3394,3000,0,0.015300,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=3000;CBO=0,,CT#9999,028,1/15/2016,1/1/2030,4030,4627,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035873,000001,Y,Y,N,N,,,0,5827,2433,1/2/2021,,Gross MRP Received,N,N,N,2433,2433,3000,,,,,N,14,BAV99DW-7-F
FUTA,JS005B,MC,1,1,3442DF04S-E,DIO,DF04S-T,DF04STR,001,4V,111000,31500,0,31500,118500,0,178500,39000,249538,30 Weeks+,8/2/2021,60.77%,No previous data found,No previous data found,0,0,0,0,208500,276000,123000,42000,6000,72000,49500,1500,0,3645,11928,10600,0,0,4000,26173,20515,16000,15700,11200,10500,0,0,62688,Gross MRP data - QOH provided,42226,60000,0,0.052000,E,0.000000,Empty Customer Price,Common Bond,1500,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,029,1/15/2016,1/1/2030,26173,26173,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035846,000001,Y,Y,N,N,,,0,62688,20462,1/2/2021,,Gross MRP Received,N,N,N,20462,20462,31500,,,,,N,7,DF04S-T
FUTA,JS005B,MC,1,1,3442MBRS1100S-E,DIO,B1100LB-13-F,MBRS1100T3,001,4V,12000,6000,0,6000,105000,0,327000,12000,332981,30 Weeks+,8/2/2021,45.28%,No previous data found,No previous data found,0,0,0,96000,102000,1272000,15000,6000,3000,9000,3000,3000,0,44,643,840,80,398,0,1607,3543,1500,1500,698,1600,0,0,6650,Gross MRP data - QOH provided,3631,3000,0,0.034300,E,0.000000,Empty Customer Price,Common Bond,3000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,030,1/15/2016,1/1/2030,1607,2005,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853035875,000001,Y,Y,N,N,,,0,6650,3019,1/2/2021,,Gross MRP Received,N,N,N,3019,3019,6000,,,,,N,15,B1100LB-13-F
FUTA,JS005B,MC,3,1,3442S1MS-E,DIO,S1M-13-F,S1MTR,001,4V,2640000,0,0,0,2430000,0,35935000,1185000,35959584,30 Weeks+,8/2/2021,89.53%,No previous data found,No previous data found,0,0,0,2165000,1500000,14415000,35000,165000,0,0,35000,0,0,1295,1072,531,6304,6400,0,9202,9749,10758,1625,16800,200,0,0,29709,Gross MRP data - QOH provided,54293,0,0,0.013300,E,0.000000,Empty Customer Price,Common Bond,5000,0,Empty Customer MPQ,In-Transit:Sales=0;CBO=0,,CT#9999,119,2/21/2017,1/1/2030,9202,15602,VN0101RICONSIGN,BIM-JABIL VN-SMCI,1853036117,000001,Y,Y,N,N,,,0,29709,0,1/2/2021,,Gross MRP Received,N,N,N,0,0,0,,,,,N,8,S1M-13-F
